"","PID","Date","Start_Time","End_Time","Condition","Trial","Stimulus","Choice","IntBefore","IntAfter","ERQ_Supp","ERQ_Reapp","DERS","DERS_Nonaccept","DERS_Goals","DERS_Impulse","DERS_Awareness","DERS_Strategies","DERS_Clarity","IUS","IUS_F1","IUS_F2","Horror_Enjoy","Familiarity","Familiar_specific","Age","Gender_Identity","Sex","Race","Marital_Status","Edu_Num","Edu_Cat","Failures","ScreenWidth","ScreenHeight","WebAudio","Browser","Browser_Version","MobileUsed","OS","FullScreenUsed","VSync_Rate_Avg","VSync_Rate_SD","Attention_Check","Difficulties","Questions","RT_sec_Choice","RT_sec_IntBefore","RT_sec_IntAfter","RT_sec_ERQ","RT_sec_DERS","RT_sec_IUS","IntReduce","Effort","Success","RT_sec_IntReduce","RT_sec_Effort","RT_sec_Success","Income","Time_Taken"
"153","sub-038","2023-10-16","22:14:18","22:38:7","Strategy Use",1,"HIU8424","Reappraisal","0","5",3,24,54,0,16,8,20,6,4,25,19,6,0,"No",NA,"43","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2133,NA,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,64.512,0.346078025884337,4,"","",16.539,22.578,26.95,58.288,109.553,37.162,"94",6,0,22.785,13.833,5.954,"$50,001 - $75,000",1429
"154","sub-038","2023-10-16","22:14:18","22:38:7","Strategy Use",2,"CNL1892","Reappraisal","0","2",3,24,54,0,16,8,20,6,4,25,19,6,0,"No",NA,"43","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2133,NA,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,64.512,0.346078025884337,4,"","",9.538,15.17,22.212,58.288,109.553,37.162,"95",6,0,20.824,3.449,2.32,"$50,001 - $75,000",1429
"155","sub-038","2023-10-16","22:14:18","22:38:7","Strategy Use",3,"FGV3524","Reappraisal","0","15",3,24,54,0,16,8,20,6,4,25,19,6,0,"No",NA,"43","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2133,NA,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,64.512,0.346078025884337,4,"","",5.102,5.468,18.863,58.288,109.553,37.162,"90",6,0,16.24,3.199,3.157,"$50,001 - $75,000",1429
"156","sub-038","2023-10-16","22:14:18","22:38:7","Strategy Use",4,"ARF1665","Reappraisal","0","5",3,24,54,0,16,8,20,6,4,25,19,6,0,"No",NA,"43","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2133,NA,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,64.512,0.346078025884337,4,"","",2.463,15.697,13.071,58.288,109.553,37.162,"94",6,0,11.206,2.865,2.588,"$50,001 - $75,000",1429
"157","sub-039","2023-10-16","22:23:21","22:40:40","Strategy Use",1,"HIU8424","Neither","30","30",15,17,70,1,15,3,24,20,7,21,10,11,1,"No",NA,"34","Male","Male","White or Caucasian","Single","12","High school degree or GED",FALSE,1920,1080,TRUE,"firefox","118.0.0",FALSE,"Linux",TRUE,76.322,0.835445988679101,4,"","",12.025,20.064,8.404,56.665,138.542,44.467,NA,NA,NA,NA,NA,NA,"Prefer not to say",1039
"158","sub-039","2023-10-16","22:23:21","22:40:40","Strategy Use",2,"ARF1665","Neither","30","30",15,17,70,1,15,3,24,20,7,21,10,11,1,"No",NA,"34","Male","Male","White or Caucasian","Single","12","High school degree or GED",FALSE,1920,1080,TRUE,"firefox","118.0.0",FALSE,"Linux",TRUE,76.322,0.835445988679101,4,"","",2.76,6.908,5.609,56.665,138.542,44.467,NA,NA,NA,NA,NA,NA,"Prefer not to say",1039
"159","sub-039","2023-10-16","22:23:21","22:40:40","Strategy Use",3,"CNL1892","Neither","30","30",15,17,70,1,15,3,24,20,7,21,10,11,1,"No",NA,"34","Male","Male","White or Caucasian","Single","12","High school degree or GED",FALSE,1920,1080,TRUE,"firefox","118.0.0",FALSE,"Linux",TRUE,76.322,0.835445988679101,4,"","",2.511,6.084,5.947,56.665,138.542,44.467,NA,NA,NA,NA,NA,NA,"Prefer not to say",1039
"160","sub-039","2023-10-16","22:23:21","22:40:40","Strategy Use",4,"FGV3524","Neither","30","30",15,17,70,1,15,3,24,20,7,21,10,11,1,"No",NA,"34","Male","Male","White or Caucasian","Single","12","High school degree or GED",FALSE,1920,1080,TRUE,"firefox","118.0.0",FALSE,"Linux",TRUE,76.322,0.835445988679101,4,"","",3.473,19.661,12.525,56.665,138.542,44.467,NA,NA,NA,NA,NA,NA,"Prefer not to say",1039
"161","sub-040","2023-10-16","22:17:58","22:43:56","Strategy Use",1,"ARF1665","Neither","0","10",15,26,44,3,6,2,19,7,7,22,15,7,5,"No",NA,"44","Female","Female","Black or African American","Married","13","High school degree or GED",FALSE,1280,800,TRUE,"chrome","116.0.0",FALSE,"Mac OS",TRUE,60.294,0.237444730411099,4,"","Thank you!",10.577,21.227,19.291,84.994,180.614,75.314,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",1558
"162","sub-040","2023-10-16","22:17:58","22:43:56","Strategy Use",2,"FGV3524","Neither","0","30",15,26,44,3,6,2,19,7,7,22,15,7,5,"No",NA,"44","Female","Female","Black or African American","Married","13","High school degree or GED",FALSE,1280,800,TRUE,"chrome","116.0.0",FALSE,"Mac OS",TRUE,60.294,0.237444730411099,4,"","Thank you!",2.916,8.033,13.319,84.994,180.614,75.314,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",1558
"163","sub-040","2023-10-16","22:17:58","22:43:56","Strategy Use",3,"HIU8424","Distraction","0","50",15,26,44,3,6,2,19,7,7,22,15,7,5,"No",NA,"44","Female","Female","Black or African American","Married","13","High school degree or GED",FALSE,1280,800,TRUE,"chrome","116.0.0",FALSE,"Mac OS",TRUE,60.294,0.237444730411099,4,"","Thank you!",6.067,5.895,22.54,84.994,180.614,75.314,"26",4,3,14.831,11.416,8.513,"$75,001 - $100,000",1558
"164","sub-040","2023-10-16","22:17:58","22:43:56","Strategy Use",4,"CNL1892","Distraction","10","51",15,26,44,3,6,2,19,7,7,22,15,7,5,"No",NA,"44","Female","Female","Black or African American","Married","13","High school degree or GED",FALSE,1280,800,TRUE,"chrome","116.0.0",FALSE,"Mac OS",TRUE,60.294,0.237444730411099,4,"","Thank you!",12.545,4.55,23.049,84.994,180.614,75.314,"40",3,3,8.966,3.102,3.995,"$75,001 - $100,000",1558
"165","sub-041","2023-10-16","22:33:1","22:49:28","Strategy Use",1,"ARF1665","Neither","84","58",4,15,42,0,7,3,20,8,4,5,4,1,6,"No",NA,"50","Male","Male","White or Caucasian","Married","14","Some college",FALSE,1396,785,TRUE,"chrome","103.0.0",FALSE,"Chrome OS",TRUE,60.802,0.395562890069328,4,"","",4.148,7.9,10.798,42.692,89.486,38.885,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",987
"166","sub-041","2023-10-16","22:33:1","22:49:28","Strategy Use",2,"CNL1892","Neither","68","72",4,15,42,0,7,3,20,8,4,5,4,1,6,"No",NA,"50","Male","Male","White or Caucasian","Married","14","Some college",FALSE,1396,785,TRUE,"chrome","103.0.0",FALSE,"Chrome OS",TRUE,60.802,0.395562890069328,4,"","",4.788,6.059,9.37,42.692,89.486,38.885,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",987
"167","sub-041","2023-10-16","22:33:1","22:49:28","Strategy Use",3,"FGV3524","Distraction","63","68",4,15,42,0,7,3,20,8,4,5,4,1,6,"No",NA,"50","Male","Male","White or Caucasian","Married","14","Some college",FALSE,1396,785,TRUE,"chrome","103.0.0",FALSE,"Chrome OS",TRUE,60.802,0.395562890069328,4,"","",3.599,4.475,6.959,42.692,89.486,38.885,"79",5,1,29.62,8.525,4.513,"$75,001 - $100,000",987
"168","sub-041","2023-10-16","22:33:1","22:49:28","Strategy Use",4,"HIU8424","Reappraisal","62","79",4,15,42,0,7,3,20,8,4,5,4,1,6,"No",NA,"50","Male","Male","White or Caucasian","Married","14","Some college",FALSE,1396,785,TRUE,"chrome","103.0.0",FALSE,"Chrome OS",TRUE,60.802,0.395562890069328,4,"","",4.911,4.874,12.006,42.692,89.486,38.885,"77",6,0,29.024,4.862,3.823,"$75,001 - $100,000",987
"169","sub-042","2023-10-16","22:41:17","23:0:44","Strategy Use",1,"FGV3524","Neither","10","50",11,26,63,14,11,7,16,7,8,13,11,2,0,"No",NA,"34","Male","Male","White or Caucasian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,167.52,1.73254148579479,4,"","",9.778,8.989,20.827,43.469,112.447,39.462,NA,NA,NA,NA,NA,NA,"Over $150,000",1167
"170","sub-042","2023-10-16","22:41:17","23:0:44","Strategy Use",2,"CNL1892","Reappraisal","25","85",11,26,63,14,11,7,16,7,8,13,11,2,0,"No",NA,"34","Male","Male","White or Caucasian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,167.52,1.73254148579479,4,"","",5.05,13.242,11.954,43.469,112.447,39.462,"19",3,2,12.744,8.873,14.903,"Over $150,000",1167
"171","sub-042","2023-10-16","22:41:17","23:0:44","Strategy Use",3,"ARF1665","Reappraisal","55","25",11,26,63,14,11,7,16,7,8,13,11,2,0,"No",NA,"34","Male","Male","White or Caucasian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,167.52,1.73254148579479,4,"","",9.412,12.671,63.289,43.469,112.447,39.462,"94",5,0,4.899,5.807,2.161,"Over $150,000",1167
"172","sub-042","2023-10-16","22:41:17","23:0:44","Strategy Use",4,"HIU8424","Reappraisal","13","94",11,26,63,14,11,7,16,7,8,13,11,2,0,"No",NA,"34","Male","Male","White or Caucasian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,167.52,1.73254148579479,4,"","",5.257,3.689,7.051,43.469,112.447,39.462,"31",4,4,8.36,5.601,5.639,"Over $150,000",1167
"173","sub-043","2023-10-16","22:37:52","23:3:13","Strategy Forecast",1,"ARF1665","Distraction","20","65",11,26,55,2,17,7,12,12,5,26,15,11,6,"No",NA,"53","Male","Male","White or Caucasian","Single","14","Some college",FALSE,1920,1080,TRUE,"firefox","115.0.0",FALSE,"Windows 8.1",TRUE,60.916,0.483663105890867,4,"","",9.736,10.221,18.925,107.932,172.261,77.995,"75",1,2,19.347,15.14,29.573,"$25,001 - $35,000",1521
"174","sub-043","2023-10-16","22:37:52","23:3:13","Strategy Forecast",2,"HIU8424","Distraction","40","70",11,26,55,2,17,7,12,12,5,26,15,11,6,"No",NA,"53","Male","Male","White or Caucasian","Single","14","Some college",FALSE,1920,1080,TRUE,"firefox","115.0.0",FALSE,"Windows 8.1",TRUE,60.916,0.483663105890867,4,"","",13.309,10.198,40.124,107.932,172.261,77.995,"60",3,2,10.316,9.696,6.144,"$25,001 - $35,000",1521
"175","sub-043","2023-10-16","22:37:52","23:3:13","Strategy Forecast",3,"FGV3524","Reappraisal","55","52",11,26,55,2,17,7,12,12,5,26,15,11,6,"No",NA,"53","Male","Male","White or Caucasian","Single","14","Some college",FALSE,1920,1080,TRUE,"firefox","115.0.0",FALSE,"Windows 8.1",TRUE,60.916,0.483663105890867,4,"","",6.704,9.752,13.624,107.932,172.261,77.995,"80",3,1,10.961,5.133,7.55,"$25,001 - $35,000",1521
"176","sub-043","2023-10-16","22:37:52","23:3:13","Strategy Forecast",4,"CNL1892","Distraction","52","58",11,26,55,2,17,7,12,12,5,26,15,11,6,"No",NA,"53","Male","Male","White or Caucasian","Single","14","Some college",FALSE,1920,1080,TRUE,"firefox","115.0.0",FALSE,"Windows 8.1",TRUE,60.916,0.483663105890867,4,"","",10.932,6.226,10.647,107.932,172.261,77.995,"60",2,1,10.816,5.45,4.265,"$25,001 - $35,000",1521
"178","sub-044","2023-10-16","22:44:43","23:9:7","Strategy Forecast",2,"CNL1892","Reappraisal","10","0",15,35,49,6,7,6,16,5,9,28,19,9,6,"Yes","FGV3524 HIU8424","48","Female","Female","Black or African American","Married","14","Some college",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.006,1.18432681300391,4,"","",12.212,14.79,24.628,57.184,149.553,72.447,"60",3,3,6.167,4.719,4.447,"$35,001 - $50,000",1464
"180","sub-044","2023-10-16","22:44:43","23:9:7","Strategy Forecast",4,"ARF1665","Reappraisal","25","40",15,35,49,6,7,6,16,5,9,28,19,9,6,"Yes","FGV3524 HIU8424","48","Female","Female","Black or African American","Married","14","Some college",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.006,1.18432681300391,4,"","",11.911,12.88,8.358,57.184,149.553,72.447,"26",4,1,8.959,4.617,2.28,"$35,001 - $50,000",1464
"181","sub-045","2023-10-16","23:11:11","23:35:32","Strategy Use",1,"HIU8424","Distraction","3","80",15,28,93,11,15,16,20,18,13,30,18,12,5,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Some college",FALSE,1440,900,TRUE,"chrome","117.0.0",FALSE,"Mac OS",TRUE,30.146,0.0684105255059482,4,"none","none",3.807,6.282,6.134,27.203,61.765,13.681,"68",4,NA,5.713,2.438,121.273,"Under $15,000",1461
"182","sub-045","2023-10-16","23:11:11","23:35:32","Strategy Use",2,"FGV3524","Distraction","36","60",15,28,93,11,15,16,20,18,13,30,18,12,5,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Some college",FALSE,1440,900,TRUE,"chrome","117.0.0",FALSE,"Mac OS",TRUE,30.146,0.0684105255059482,4,"none","none",2.252,7.799,67.02,27.203,61.765,13.681,"41",3,4,54.867,1.63,1.233,"Under $15,000",1461
"183","sub-045","2023-10-16","23:11:11","23:35:32","Strategy Use",3,"CNL1892","Distraction","28","83",15,28,93,11,15,16,20,18,13,30,18,12,5,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Some college",FALSE,1440,900,TRUE,"chrome","117.0.0",FALSE,"Mac OS",TRUE,30.146,0.0684105255059482,4,"none","none",1.242,3.014,4.966,27.203,61.765,13.681,"62",2,4,2.511,1.866,1.319,"Under $15,000",1461
"184","sub-045","2023-10-16","23:11:11","23:35:32","Strategy Use",4,"ARF1665","Reappraisal","65","100",15,28,93,11,15,16,20,18,13,30,18,12,5,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Some college",FALSE,1440,900,TRUE,"chrome","117.0.0",FALSE,"Mac OS",TRUE,30.146,0.0684105255059482,4,"none","none",1.571,2.774,4.992,27.203,61.765,13.681,"78",4,4,247.776,3.16,9.126,"Under $15,000",1461
"185","sub-046","2023-10-16","23:32:56","23:51:6","Strategy Forecast",1,"CNL1892","Distraction","64","75",11,25,82,11,11,10,25,15,10,21,13,8,2,"No",NA,"22","Male","Male","Asian","Single","17","Some college",FALSE,1536,864,TRUE,"chrome","116.0.0",FALSE,"Windows 10",TRUE,60.228,0.290465144208389,4,"","",13.829,4.705,30.06,45.957,74.887,16.383,"39",2,0,13.825,5.036,4.943,"$50,001 - $75,000",1090
"186","sub-046","2023-10-16","23:32:56","23:51:6","Strategy Forecast",2,"ARF1665","Distraction","60","80",11,25,82,11,11,10,25,15,10,21,13,8,2,"No",NA,"22","Male","Male","Asian","Single","17","Some college",FALSE,1536,864,TRUE,"chrome","116.0.0",FALSE,"Windows 10",TRUE,60.228,0.290465144208389,4,"","",7.73,8.412,25.991,45.957,74.887,16.383,"66",0,4,5.364,7.19,4.658,"$50,001 - $75,000",1090
"187","sub-046","2023-10-16","23:32:56","23:51:6","Strategy Forecast",3,"HIU8424","Distraction","70","85",11,25,82,11,11,10,25,15,10,21,13,8,2,"No",NA,"22","Male","Male","Asian","Single","17","Some college",FALSE,1536,864,TRUE,"chrome","116.0.0",FALSE,"Windows 10",TRUE,60.228,0.290465144208389,4,"","",6.933,6.347,24.289,45.957,74.887,16.383,"41",4,3,5.905,9.46,2.261,"$50,001 - $75,000",1090
"188","sub-046","2023-10-16","23:32:56","23:51:6","Strategy Forecast",4,"FGV3524","Reappraisal","62","79",11,25,82,11,11,10,25,15,10,21,13,8,2,"No",NA,"22","Male","Male","Asian","Single","17","Some college",FALSE,1536,864,TRUE,"chrome","116.0.0",FALSE,"Windows 10",TRUE,60.228,0.290465144208389,4,"","",3.958,5.467,27.422,45.957,74.887,16.383,"65",2,4,5.176,2.084,3.205,"$50,001 - $75,000",1090
"189","sub-047","2023-10-16","23:30:25","23:53:35","Strategy Forecast",1,"ARF1665","Neither","2","10",15,24,78,12,9,4,21,18,14,29,18,11,4,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1440,900,TRUE,"safari","14.0.0",FALSE,"Mac OS",TRUE,60.144,0.226892044814269,4,"no","no",15.849,26.048,27.397,100.296,127.785,59.21,NA,NA,NA,NA,NA,NA," $100,001 - $150,000",1390
"190","sub-047","2023-10-16","23:30:25","23:53:35","Strategy Forecast",2,"HIU8424","Reappraisal","10","30",15,24,78,12,9,4,21,18,14,29,18,11,4,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1440,900,TRUE,"safari","14.0.0",FALSE,"Mac OS",TRUE,60.144,0.226892044814269,4,"no","no",14.316,5.142,15.377,100.296,127.785,59.21,"25",4,2,16.487,20.124,11.66," $100,001 - $150,000",1390
"191","sub-047","2023-10-16","23:30:25","23:53:35","Strategy Forecast",3,"FGV3524","Distraction","28","70",15,24,78,12,9,4,21,18,14,29,18,11,4,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1440,900,TRUE,"safari","14.0.0",FALSE,"Mac OS",TRUE,60.144,0.226892044814269,4,"no","no",5.539,20.208,20.058,100.296,127.785,59.21,"15",1,4,12.929,8.37,8.363," $100,001 - $150,000",1390
"192","sub-047","2023-10-16","23:30:25","23:53:35","Strategy Forecast",4,"CNL1892","Reappraisal","66","55",15,24,78,12,9,4,21,18,14,29,18,11,4,"No",NA,"26","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1440,900,TRUE,"safari","14.0.0",FALSE,"Mac OS",TRUE,60.144,0.226892044814269,4,"no","no",19.185,14.421,19.503,100.296,127.785,59.21,"80",5,0,7.835,13.427,5.213," $100,001 - $150,000",1390
"193","sub-048","2023-10-16","23:40:8","23:57:5","Strategy Use",1,"CNL1892","Neither","0","5",12,23,24,0,3,2,13,2,4,5,3,2,0,"No",NA,"31","Male","Male","White or Caucasian","Single","16","Vocational / technical / trade training",FALSE,1536,864,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.29,0.337934904974317,4,"No","No",5.149,10.915,20.24,48.484,108.363,52.194,NA,NA,NA,NA,NA,NA,"$50,001 - $75,000",1017
"194","sub-048","2023-10-16","23:40:8","23:57:5","Strategy Use",2,"FGV3524","Neither","0","0",12,23,24,0,3,2,13,2,4,5,3,2,0,"No",NA,"31","Male","Male","White or Caucasian","Single","16","Vocational / technical / trade training",FALSE,1536,864,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.29,0.337934904974317,4,"No","No",2.433,6.353,6.7,48.484,108.363,52.194,NA,NA,NA,NA,NA,NA,"$50,001 - $75,000",1017
"195","sub-048","2023-10-16","23:40:8","23:57:5","Strategy Use",3,"ARF1665","Reappraisal","0","5",12,23,24,0,3,2,13,2,4,5,3,2,0,"No",NA,"31","Male","Male","White or Caucasian","Single","16","Vocational / technical / trade training",FALSE,1536,864,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.29,0.337934904974317,4,"No","No",5.977,3.142,11.407,48.484,108.363,52.194,"30",6,1,14.728,11.735,8.152,"$50,001 - $75,000",1017
"196","sub-048","2023-10-16","23:40:8","23:57:5","Strategy Use",4,"HIU8424","Neither","2","15",12,23,24,0,3,2,13,2,4,5,3,2,0,"No",NA,"31","Male","Male","White or Caucasian","Single","16","Vocational / technical / trade training",FALSE,1536,864,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.29,0.337934904974317,4,"No","No",3.501,6.078,9.522,48.484,108.363,52.194,NA,NA,NA,NA,NA,NA,"$50,001 - $75,000",1017
"197","sub-049","2023-10-16","23:40:27","23:58:6","Strategy Forecast",1,"CNL1892","Reappraisal","1","21",13,30,40,0,7,3,17,4,9,9,5,4,6,"No",NA,"29","Male","Male","White or Caucasian","Married","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.144,0.953797672465178,4,"","",15.59,8.62,11.934,50.217,119.613,53.36,"29",2,2,10.62,7.217,5.516,"$75,001 - $100,000",1059
"198","sub-049","2023-10-16","23:40:27","23:58:6","Strategy Forecast",2,"FGV3524","Reappraisal","2","29",13,30,40,0,7,3,17,4,9,9,5,4,6,"No",NA,"29","Male","Male","White or Caucasian","Married","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.144,0.953797672465178,4,"","",3.945,10.276,6.014,50.217,119.613,53.36,"80",1,4,7.192,4.711,3.196,"$75,001 - $100,000",1059
"199","sub-049","2023-10-16","23:40:27","23:58:6","Strategy Forecast",3,"ARF1665","Distraction","5","22",13,30,40,0,7,3,17,4,9,9,5,4,6,"No",NA,"29","Male","Male","White or Caucasian","Married","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.144,0.953797672465178,4,"","",3.448,5.354,6.3,50.217,119.613,53.36,"65",3,3,4.483,2.408,2.591,"$75,001 - $100,000",1059
"200","sub-049","2023-10-16","23:40:27","23:58:6","Strategy Forecast",4,"HIU8424","Distraction","2","72",13,30,40,0,7,3,17,4,9,9,5,4,6,"No",NA,"29","Male","Male","White or Caucasian","Married","16","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,145.144,0.953797672465178,4,"","",3.244,4.041,5.267,50.217,119.613,53.36,"10",4,1,4.868,3.649,1.768,"$75,001 - $100,000",1059
"201","sub-050","2023-10-17","23:41:50","0:1:46","Strategy Forecast",1,"HIU8424","Distraction","7","27",12,15,60,5,9,9,13,14,10,22,13,9,3,"No",NA,"26","Male","Male","White or Caucasian","Single","14","Some college",FALSE,2560,1440,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.344,0.320124975595471,4,"","",32.987,14.771,13.925,100.059,121.195,37.531,"33",5,4,11.686,10.254,8.854,"$75,001 - $100,000",1196
"202","sub-050","2023-10-17","23:41:50","0:1:46","Strategy Forecast",2,"CNL1892","Reappraisal","25","23",12,15,60,5,9,9,13,14,10,22,13,9,3,"No",NA,"26","Male","Male","White or Caucasian","Single","14","Some college",FALSE,2560,1440,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.344,0.320124975595471,4,"","",8.711,7.495,10.011,100.059,121.195,37.531,"55",4,3,10.572,8.644,3.773,"$75,001 - $100,000",1196
"203","sub-050","2023-10-17","23:41:50","0:1:46","Strategy Forecast",3,"FGV3524","Reappraisal","22","16",12,15,60,5,9,9,13,14,10,22,13,9,3,"No",NA,"26","Male","Male","White or Caucasian","Single","14","Some college",FALSE,2560,1440,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.344,0.320124975595471,4,"","",14.253,3.37,11.482,100.059,121.195,37.531,"92",6,1,10.682,4.816,3.14,"$75,001 - $100,000",1196
"204","sub-050","2023-10-17","23:41:50","0:1:46","Strategy Forecast",4,"ARF1665","Distraction","10","21",12,15,60,5,9,9,13,14,10,22,13,9,3,"No",NA,"26","Male","Male","White or Caucasian","Single","14","Some college",FALSE,2560,1440,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.344,0.320124975595471,4,"","",5.164,5.096,10.629,100.059,121.195,37.531,"52",4,4,7.784,4.21,1.857,"$75,001 - $100,000",1196
"205","sub-051","2023-10-17","23:33:6","0:6:18","Strategy Forecast",1,"HIU8424","Distraction","21","90",11,24,96,18,17,10,25,17,9,34,22,12,6,"No",NA,"43","Female","Female","White or Caucasian","Married","14","Vocational / technical / trade training",FALSE,1300,731,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.114,0.481591112874812,4,"","",15.742,23.864,18.342,95.911,207.689,96.746,"66",0,6,24.718,33.957,20.755,"$15,001 - $25,000",1992
"206","sub-051","2023-10-17","23:33:6","0:6:18","Strategy Forecast",2,"ARF1665","Reappraisal","54","75",11,24,96,18,17,10,25,17,9,34,22,12,6,"No",NA,"43","Female","Female","White or Caucasian","Married","14","Vocational / technical / trade training",FALSE,1300,731,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.114,0.481591112874812,4,"","",22.025,17.708,12.442,95.911,207.689,96.746,"77",2,6,6.987,15.045,8.469,"$15,001 - $25,000",1992
"207","sub-051","2023-10-17","23:33:6","0:6:18","Strategy Forecast",3,"FGV3524","Reappraisal","56","62",11,24,96,18,17,10,25,17,9,34,22,12,6,"No",NA,"43","Female","Female","White or Caucasian","Married","14","Vocational / technical / trade training",FALSE,1300,731,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.114,0.481591112874812,4,"","",10.896,35.196,18.058,95.911,207.689,96.746,"85",2,6,8.427,6.139,5.037,"$15,001 - $25,000",1992
"208","sub-051","2023-10-17","23:33:6","0:6:18","Strategy Forecast",4,"CNL1892","Distraction","48","70",11,24,96,18,17,10,25,17,9,34,22,12,6,"No",NA,"43","Female","Female","White or Caucasian","Married","14","Vocational / technical / trade training",FALSE,1300,731,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.114,0.481591112874812,4,"","",6.156,8.681,17.63,95.911,207.689,96.746,"81",0,6,6.434,7.308,4.679,"$15,001 - $25,000",1992
"209","sub-052","2023-10-17","0:14:31","0:37:17","Strategy Forecast",1,"FGV3524","Reappraisal","9","25",4,24,99,18,18,10,20,26,7,41,22,19,5,"No",NA,"33","Female","Female","White or Caucasian","Single","12","High school degree or GED",FALSE,1600,900,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.538,0.269202525991119,4,"","",9.988,5.48,12.158,21.247,76.975,25.885,"75",2,4,9.227,8.746,6.27,"$50,001 - $75,000",1366
"210","sub-052","2023-10-17","0:14:31","0:37:17","Strategy Forecast",2,"HIU8424","Distraction","25","65",4,24,99,18,18,10,20,26,7,41,22,19,5,"No",NA,"33","Female","Female","White or Caucasian","Single","12","High school degree or GED",FALSE,1600,900,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.538,0.269202525991119,4,"","",4.23,449.008,6.636,21.247,76.975,25.885,"60",5,3,4.507,3.259,4.342,"$50,001 - $75,000",1366
"211","sub-052","2023-10-17","0:14:31","0:37:17","Strategy Forecast",3,"CNL1892","Reappraisal","65","55",4,24,99,18,18,10,20,26,7,41,22,19,5,"No",NA,"33","Female","Female","White or Caucasian","Single","12","High school degree or GED",FALSE,1600,900,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.538,0.269202525991119,4,"","",3.33,5.796,8.964,21.247,76.975,25.885,"63",2,5,23.143,3.779,3.09,"$50,001 - $75,000",1366
