PID,EventNum,EventKey,EventDesc,Judgement
A-046,1,meat,"we entered machine shop through a box made of red raw meat dripping down from the walls. it looked wet and real. as i stepped out of the box, a scary woman with a cleaver jumped out at me and i ran around her to get to the other side.",Machine_Shop
A-011,3,Meat,"The room with the strobe lights and the hanging meat props, because it was very hard to see with the strobe light going and feeling like I was being touched even though it was just the meat props, and not being able to see where the actor was 100% of the time was truly freaky",Crypt
A-051,2,Meat,"Walking through the meat freezer was the same vibe as the bus because of the flashing lights. The strobe lights are so intense in there everywhere, but especially when there are real people and fake people hanging in the same room. It was so crazy seeing the bodies flash ever so slightly closer as I walked through the room. I ran into the last body hanging and I really thought I cleared it. There was also a guy in there that all I could really see was his hand moving to and from my face. ",Crypt
A-059,4,meat,"During the Crypt, there was a room that looked like a meat freezer, but instead of a pig bodies, there seemed to be human bodies hanging from the ceiling. I remember walking with another girl into the room and both of us made remarks about how disturbing this room was. It was one of the only sections that had decoration that made me noticeably uncomfortable. ",Crypt
A-104,3,meat,the fricken meat locker had me in shambles I kept being afraid they were gonna hit me when they were hanging and they were lowkey holographic and I couldn't tell if they were real or not but there were also like people in the corners that were like yelling at us and stuff,Crypt
A-123,1,meat,"the bodies hanging in the meat locker, barbie mannequin in the last corner of the room, one actress with long curly brown hair in a red cape. many upside down decapitated bodies",Crypt
A-107,2,Mysterious,"The hallway of cages: we wandered through a dark, foggy room/hallway populated with small cages. Inside were zombie looking patients, someone wrapped in white cloth and sitting up, and a figure with an arm poking out of its chest. There were things hanging from the ceiling, and people who'd occasionally chase me or try and scare me. There was also a box that would rattle. We finally left that room. ",Crypt
A-062,1,narrow,"The emotionally-evocative event that occurred was how claustrophobic the bus was, it was super narrow and dark and I do not have a fear of narrow spaces, but knowing there were possible actors in the dark to scare us and there was nowhere to go was slightly scary. ",Crypt
A-112,1,Narrow,There was a person in the beginning of the narrow bus that jump scared me by coming up in my face with flashing dim lights.,Crypt
A-016,1,nervewracking ,walking through the door was immediatley distressing for me since it was very dark and hard to tell where to go next. I saw a shadow of a person in the room next to the first room we were in that put me on high alert right from the start. ,Machine_Shop
A-070,5,Nervous,The fifth thing I can remember is the man running through the jail cells in the Crypt. I remember he was very scary and I was trying to avoid him as best as I could.,Crypt
A-076,2,Noise,There was an air gun that was very jarring. I think the sounds were one of the scariest bits.,Machine_Shop
A-005,6,Nostalgic ,The room with the dentist chair in Take-13 only because of the sound that the dentist tools made. The dentist leaned towards us with the tools as we walked past.,Take_13
A-089,2,Ominous ,"We entered the long hallway that was the widest section of the part. At first it looked like there wasnt much except a few holes in the wall where the cells were. Then smoke shot out, hid the view and multiple actors appeared and converged on the group with jump scares",Machine_Shop
A-008,3,Opera,Opera singer opera singing,Take_13
A-033,6,overwhelmed ,hanging bodies ,Crypt
A-006,2,overwhelming,trying to navigate the meat freezer with strobe lights and hanging bodies and a woman screaming next to me,Crypt
A-028,1,overwhelming,The first emotionally-evocative event was when the strobe lights that relly had me worried about my surroundings and if there were gonna be any other jumpscares during it because I wouldn't be able to see it coming.,
A-093,1,people train,entering the bus,Crypt
A-122,3,Pipe,Everyone after that point had a pipe or a crowbar and threatend to hit you,Machine_Shop
A-006,1,Polka dots,Person dressed in black with polka dots on it jumped out at me from a corner in delerium,Delirium
A-105,1,polka-dots,A person was camouflaged in polka-dots in the Delirium section and she was hidden on the black walls of the room and jumped out at us.,Delirium
A-028,2,rattled,When the guy at the top near the exit slammed his cage down I was not expecting it.,Machine_Shop
A-055,5,Rattling,Rattling cage,
A-046,2,rave,"we walked down a strobing hallway. it was like a tunnel, and made me dizzy and feel spinny. it reminded me of the zeds dead concert i just went to.",Machine_Shop
A-076,4,robe,the red robe lady who hit on me but also probably hit in everyone lol. there was another lady before you got to the red robe lady. they both had black wigs on. I donâ€™t remember which section this was in but I think an earlier question said she was in the second one. ,Take_13
A-054,1,saw,we were walking on a ramp and a man with a chain saw revved up or powered up the chain saw and then crouched down low and started running the chain saw near our feet. I screeched and also laughed. ,Machine_Shop
A-099,2,Saws,The second was the smell of the gasoline just before walking outside of the building to the woman running with the chainsaw.  I think I remembered this the most cause it reminded me of shift change at the firehouse when the crew starts up the saws.,Machine_Shop
A-075,3,scared,there was a hallway in one of the sections that had a very very dark hallway full of smoke so that you could not see anything. it was so loud so it felt like you could not use any of your senses. there were people walking and running around that you could barely see,Machine_Shop
A-109,1,Scared,"The laser room, couldnâ€™t see my feet or anything below my waist",Delirium
A-015,4,scared ,Having the one actor come up to me and make a zombie kind of noise in my ear was kind of scary to me because i didn't like it. ,
A-015,6,scared ,Having to wait to walk through the guy with the dead bodies in the dark one of the actors came up and scared me because I wasn't paying attention to him. ,Crypt
A-016,2,scary,"the second actor who was in the second room of the machine shop singled me out as I was the second person in line, and wouldn't let me pass until the other four people behind me passed and it was very uncomfortable. ",Machine_Shop
A-040,1,scary,When a lady speaking a foreign language was trying to escape from the cell and screaming. I think her voice and the dark scared me,Crypt
A-067,2,scary,"Walking through the bus, I was scared because I wasn't sure if anyone would jump out at me or not. The strobe lights added more effect to it. ",Crypt
A-119,5,Scary,There was a hallway that had strobe lights which were very alarming as I now know they increase my anxiety. There were characters who would seemingly pop out of nowhere right next to you that I attempted to avoid.,Machine_Shop
A-015,3,scary ,The third event was the long hallway with strobe lights and fog with two guys scaring you. ,Machine_Shop
A-015,1,scary ,The first event that happens is a two guys pop out at you. ,
A-020,1,scream,an actress was scaring a girl in front of me and she would not of let her to go and let everyone else in the group go.,
A-097,2,scream,while waiting outside of machine chope there was a scream from a woman. it made my hairs on the back of my neck stand up ,Machine_Shop
A-112,3,Shake,There was a very loud moving box that was frosted and shook intensely.,Crypt
A-019,3,shaky,"The floor was made out of these two sliding plates, I slipped on one of them and I got taken off guard.",
A-012,2,shocking,The strobe light hallway was scary because I couldn't clearly see anything,Machine_Shop
A-057,1,Shocking,"Walking on the bus at the beginning. There were strobe lights and scary ""dolls"" in the seats of the bus. Towards the end of the bus was an actor that popped up just as my head was turning and surprised me. ",Crypt
A-067,1,shocking,"When we were walking through the room a character came up behind and me said ""did you find what you were looking for?"" It scared since I was not expecting it.",
A-048,5,shower/tub,body parts in a shower/tub ,Take_13
A-056,6,skull,the teeth skull in the first house. the whole skull was covered in teeth and triggered my trypophobia ,Take_13
A-099,1,Sledgehammer,"As I mentioned earlier, immediate entry was what I remember most, and the part specifically was the actor who swung a sledgehammer from behind a wall in the face of the girl in front of me.  Honestly I feel like I probably remember this the most cause the girl is my girlfriend and I've worked with sledgehammers so I got a little defensive and wanted to step in and make sure nothing happened.  ",Machine_Shop
A-099,1,Smoke,"The first event was the scene in Delirium that had the smoke filled room and neon lasers about, with the smoke really settling on a fine and identifiable level/layer within the height of the room.  I was surprised with how much I could see considering how dark the room was and how much smoke there was. ",Delirium
A-022,1,Spooky,"Going into the bus was ""emotionally-evocative"" because of the strobe lights and the uncertainty of whether or not somebody would jump at you.",Crypt
A-051,6,Stairs,"In The Crypt, there were staircases that we went up and down on and with the lighting and my less than excellent balance, I was a bit nervous using them. ",Crypt
A-052,3,Stairs,"We went up the stairs and around a corner, and then came back downstairs. Nothing happened but the anticipation was terrible.",Crypt
A-105,4,stapler,There was a man slamming a stapler or something on the desk making a loud banging noise. He was at the desk with the typewriter. I think this was in the take 13 section.,Take_13
A-055,2,Staring,A guy was standing in the hallway of the bus staring at people.,Crypt
A-047,2,Startling,"When we walked out into the outdoor garden, there was a man with a chainsaw who was near the group ahead of us. I stopped, but there were two people behind me, so I had to keep going. The man walked up towards me, not to fast, but then lunged and turned the chainsaw on at the level of my knees. I screamed and then laughed while I tried to run away.",Machine_Shop
A-101,1,startling,"When we were waiting to enter the first official room of the Machine Shop, One of the people walking in front of us turned around suddenly and scared me completly. His hair was standing straight up and he was wearing a white jacket and brown pants. I think he had some blood on his face.",Machine_Shop
A-103,3,startling,The loud banging noises that would occur every five seconds. ,Machine_Shop
A-042,1,strange,The first emotionally-evocative event that occurred within Machine Shop was the woman host in the beginning that let us into the attraction. She had a eye contact in that completely whited out one of her eyes and that kind of freaked me out. ,Machine_Shop
A-047,2,Strange,"In Delirium, I remember first stepping into the area with my 3D glasses on and thinking how strange and also cool the scenery was. Everything was distorted and coming out towards me. I was putting my hands out trying to feel for where exactly the walls, pipes, and props started. The neon colors only added to the strangeness of it all. It had been years since I had worn 3D glasses and was not used to it.",Delirium
A-075,6,stressed,there was one part in delirium where you are walking and the floor gets really shaking as if you are going to fall through or fall down,Delirium
A-052,6,Strippers,The strippers in Delirium,Delirium
A-028,1,Strobe,"The strobe lights in the one section are my most vivid memory, as you walk through those place with the cells. It made me feel overwhelmed.",
A-035,2,strobe,In the long hallway there were strobe lights. At the very end the strobe was very bright and cose to us so it made it hard to see  There were cast members walking around us and it was hard to see where they were.,Machine_Shop
A-058,3,Strobe,"The strobe light hallway was one of the first things that really unsettled me. Initially, it was fine, but as the fog grew thicker and the strobe lights felt more overwhelming it was a lot harder to keep track of what was going on. Just as I was about to get really dizzy we exited the hallway. ",
A-058,3,Strobe,Strobe Light hallway. Both for its overwhelming sensory component and the fact that it was the first time weâ€™d seen the cells clearly and I remembered where I was,Machine_Shop
A-071,3,Strobe,"We were walking down the hall with strobe lights, and my eyes were having trouble adjusting at the start. Because of this, I bumped into the person in front of me which caused some stress. Immediately after, an actor quickly approached me face-to-face.",Machine_Shop
A-091,1,Strobe,The dark bus with the flashing strobe lights. The windows of the bus were backed out and there was a strobe light that made it difficult to see what was inside the bus. There were mannequins and actors in the seats but it was almost impossible to distinguish between the two.,Crypt
A-118,3,strobe hallway,we walked down a long hallway with strobe lights in machine shop,Machine_Shop
A-048,3,strobe lights ,long hallway with smoke and strobe lights. this was at the end of one of the tours. ,Machine_Shop
A-048,3,strobe lights ,"at the end of machine shop, there was a long dark hallway where strobe lights were going off. I remember feeling like i couldn't tell what I was looking at and was scared to move forward. ",Machine_Shop
A-037,4,Strobes,"The strobe lights in the Machine Shop going off in the meat locker. There were mannequins and actors in there amongst the bodies, but I could not tell which was which. I was worried that someone would jump out at me.",Machine_Shop
A-037,3,Sudden,The part that made me physically jump was the man who dropped the grate overhead towards the end. I wasn't expecting it because it didn't see it. In that moment I also wondered if that actor ever got bored doing such a monotonous task.,Machine_Shop
A-092,3,Sudden,Jumpscare from butcher,Machine_Shop
A-089,5,Surprise,"'- there were loud air sounds in the machine one that shot off
- they came from the bottom of the floor at random",Machine_Shop
A-032,1,surprising ,when we walked into the freezer portion some dude was like hissing and yelling and then he like ran right next to me and hissed like in my ear through all the bodies and through the strobe lights. ,Crypt
A-095,3,Surprising ,An airgun went off in my ear. ,Machine_Shop
A-034,3,Surreal,"I would say the man running through the fog, strobe-lit passage. It was surreal the way in which he scuttled around like a child with a strange weapon. It reminded me of some memories from when I was a child.",Machine_Shop
A-025,2,Suspenseful ,"The second emotionally evocative event I remember experiencing is when the clowns from the exhibit scared and started some of the other participants in front of me, which put me on alert to begin with.",Delirium
A-090,1,Suspenseful ,"Entering through the dark bus and seeing objects in the seats, was scared that something would pop up the entire time ",Crypt
A-007,1,Swinging,The meat freezer with hanging bodies and an actor in it. The flashing lights and swinging bodies made it hard to move/navigate through the room and I was afraid of bumping into any actors or swaying bodies. The actor in it came up around one of the swinging bodies so he surprised me. The bodies swinging from the ceiling I wasn't sure if they were animatronics or if maybe an actor was on it and would hop down.,Crypt
A-058,2,Tablesaw,"The hand in the table saw made my skin crawl a bit, both because it is one of those freak accidents I am prone to have intrusive thoughts about and it was paired with hearing someone say ""I can smell your flesh burn""",Machine_Shop
A-089,3,Tense,We walked down  a tight hallway after exciting one of the rooms with a man and a hammer. The hallway was dark and had pictures and cells on either side. There were clanking sounds behind each of the cells/holes/images but nothing popped out until a man with a mallet at the end where the area opened up. Throughout the path there were smoke gun noises,Machine_Shop
A-070,2,Terrifying,The only other thing I can really remember is the person standing at the end of the hallway in the Machine Shop. They were very scary and made me feel very on edge.,Machine_Shop
A-039,1,terrifying ,man swinging axe in my face,Machine_Shop
A-103,6,terrifying ,A clown approached me sometime during the haunted house and caught me off guard. He yelled in my face and I screamed. ,Delirium
A-103,5,Terrifyingly realistic ,I remember dentist man saying creepy things and I could hear the dental noises in the background which terrified me. They sounded like actual dental noises. ,Take_13
A-042,3,terror,jump scare from an actor standing in the dark in a thin hallway,
A-122,2,tooths,Dentist with the manikin head with all the teeth on it,Take_13
A-118,5,traffic jam,we walked through a big hallway in machine shop where we were behind a lot of people so the scares were happening to people 20 feet ahead ,Machine_Shop
A-091,2,Tube,"In delirium, there was a rotating tunnel that we had to walk through on a bridge.",Delirium
A-011,4,tunnel,The spinning tunnel where it was like hard to walk straight,Delirium
A-099,2,Tunnel,"The second emotionally-evocative was the spinning tunnel and moving footbridge.  I This was so because I remember exclaiming how ""trippy"" I thought this was due to the 3-D glasses and lights that were on the spinning tunnel, and the off-kilter and moving footbridge really making me dizzy and feeling like I was going to fall.",Delirium
A-048,2,tunnel ,tunnel in delirium. spirals / stripes along the walls. walk through the tunnel and felt like the tunnel that moves in a fun-house. ,Delirium
A-106,3,Tunnel ,We walked through a tunnel of darkness that spun with lights ,Delirium
A-003,1,unbalancing?,I noticed that the floor moved as I took a step forward. The person a head of me also noticed and looked down which further directed my attention.,Crypt
A-006,1,uncertain,going up the steps of the bus and seeing seats filled with maybe-people-maybe-not with flashing strobe lights,Crypt
A-030,3,uncomfortable,"flashing lights across a long hallway before the end of the tour. there were people walking - some were guests and some were actors. there were also prison doors throughout the sides of the hallway, so not knowing what will be coming and what can be popping out from the side was unsettling as well. ",Machine_Shop
A-004,1,Uneasy,The first emotionally-evocative event that occurred within THE CRYPT was at the at the end of the bus. I was disoriented since it was dark and I'm not sure if it was a human or a mechanical prop but it cause me to be more alert.,Crypt
A-043,3,uneasy,The floor boards moving was definitely kind of scary and a bit uncomfortable.,Crypt
A-047,1,Uneasy,"Walking inside and having it immediately be pitch black. I could tell that there was a man waiting in the dark corner, but I couldn't see well enough to tell when he would come out. I tried to walk to the left, away from him, but was pushed towards him by another actor who was wielding a cinderblock. The actor in the shadows attempted to hit me with a pipe.",Delirium
A-103,1,unpredictable,Walking through the bus and seeing a couple people sitting with their face down. I was scared because I didn't know of the person was real or not. ,Crypt
A-101,6,unreal,"The long hallway with the smoke and lights at the end of the Machine Shop was terrifying. The strobe lights were going at such a rate that motion looked eerie and out of place, and there was a female actor who followed us for a little while. It was especially scary because there were so many open spaces for actors to be ""potentially' hiding.",Machine_Shop
A-013,6,Unsafe,"The sixth event was when we had to walk through this once cell block that was made to look like a forest. There were bodies wrapped in the leaves coming from the walls and some were wound in white cloth. At one point, there was a scare actor on the ground hidden in the rubble. Upon the exit, there were two bodies hanging over the exit, wrapped in the vines. There was also a scare actor hidden on the right side of this exit and I want to say that she was wearing a black cape. She had light hair and would move toward you as you went to exit. ",Crypt
A-034,1,Unsettling,"The most emotionally evocative was the smashing machine. There was someone beside it saying about the smashing machine, but I didn't pay attention because it was dawning on me what the machine was, and I could see the gore as we entered the room. It was emotional for me because, more than anything else in the shop, this piece degraded humans into mush and goo, which is very striking for me. It truly got to the point where I was a little uncomfortable.",Machine_Shop
A-043,6,unsettling,the moving floorboards,Crypt
A-115,4,up-close ,Someone whispered in my ear,
A-105,6,vampire,The vampire came up to us while we were waiting in line for the crypt and scared us. He had fangs in and blood all over. ,Crypt
A-066,5,Vines,The area with the cages and vines and the actor who was able to exit the cage and follow us around until the next section.,Crypt
A-119,2,Violent,"In the crypt, there was a shaking box that I thought someone would jump out of. I recall staring at it searching for a hand or something like that to pop out. ",Crypt
A-002,5,Weapon,Man following me with a weapon ,Machine_Shop
A-073,5,weird,woman in red robe singing ,Take_13
A-028,4,window,"When I was walking through the last house and there was a guy in the window jumpscaring people. i was anxious here,too. ",Crypt
A-098,2,worried,there was a man typing on a type writer when you firs enter.,Take_13
A-058,1,Wrench,"The man with the wrench yelling in our faces about surrendering ourselves to the machine was a little startling, just based on how close he got and the way he talked about giving up and surrendering our...flesh. ",Machine_Shop
A-058,2,Wrench,Man with the wrench telling us to surrender our flesh to the machine. It was the first time I got an idea of what this sections shtick was.,Machine_Shop
A-083,2,Wrench,There was someone with a wrench that jumped in front of me and took a swing inches from my face.,Machine_Shop
A-111,1,wrench,guy with wrench scaring me when i walked in,Machine_Shop
